"","Id_Curso","Descripcion","n_curso","Hora","Ronda","weight","Id_Receptor","Id_Emisor"
"106",11,"Tercero basico",15,2017-08-29 17:29:31,14,10,319,325
"107",11,"Tercero basico",15,2017-08-29 17:29:31,6,10,319,326
"108",11,"Tercero basico",15,2017-08-29 17:29:31,10,0,319,329
"109",11,"Tercero basico",15,2017-08-29 17:29:31,9,10,319,330
"110",11,"Tercero basico",15,2017-08-29 17:29:31,19,1,319,333
"111",11,"Tercero basico",15,2017-08-29 17:29:31,12,2,319,336
"112",11,"Tercero basico",15,2017-08-29 17:29:31,16,5,319,337
"113",11,"Tercero basico",15,2017-08-29 17:29:31,7,2,325,312
"114",11,"Tercero basico",15,2017-08-29 17:29:31,16,4,325,313
"115",11,"Tercero basico",15,2017-08-29 17:29:31,6,5,325,314
"116",11,"Tercero basico",15,2017-08-29 17:29:31,8,3,325,315
"117",11,"Tercero basico",15,2017-08-29 17:29:31,17,10,325,316
"118",11,"Tercero basico",15,2017-08-29 17:29:31,4,3,325,317
"119",11,"Tercero basico",15,2017-08-29 17:29:31,15,5,325,318
"120",11,"Tercero basico",15,2017-08-29 17:29:31,14,10,325,319
"121",11,"Tercero basico",15,2017-08-29 17:29:31,18,10,325,326
"122",11,"Tercero basico",15,2017-08-29 17:29:31,3,1,325,329
"123",11,"Tercero basico",15,2017-08-29 17:29:31,2,1,325,330
"124",11,"Tercero basico",15,2017-08-29 17:29:31,12,1,325,333
"125",11,"Tercero basico",15,2017-08-29 17:29:31,5,10,325,336
"126",11,"Tercero basico",15,2017-08-29 17:29:31,9,3,325,337
"127",11,"Tercero basico",15,2017-08-29 17:29:31,10,2,326,312
"128",11,"Tercero basico",15,2017-08-29 17:29:31,8,5,326,313
"129",11,"Tercero basico",15,2017-08-29 17:29:31,17,5,326,314
"130",11,"Tercero basico",15,2017-08-29 17:29:31,19,7,326,315
"131",11,"Tercero basico",15,2017-08-29 17:29:31,9,1,326,316
"132",11,"Tercero basico",15,2017-08-29 17:29:31,15,0,326,317
"133",11,"Tercero basico",15,2017-08-29 17:29:31,7,2,326,318
"134",11,"Tercero basico",15,2017-08-29 17:29:31,6,2,326,319
"135",11,"Tercero basico",15,2017-08-29 17:29:31,18,10,326,325
"136",11,"Tercero basico",15,2017-08-29 17:29:31,14,1,326,329
"137",11,"Tercero basico",15,2017-08-29 17:29:31,13,2,326,330
"138",11,"Tercero basico",15,2017-08-29 17:29:31,4,0,326,333
"139",11,"Tercero basico",15,2017-08-29 17:29:31,16,0,326,336
"140",11,"Tercero basico",15,2017-08-29 17:29:31,1,3,326,337
"141",11,"Tercero basico",15,2017-08-29 17:29:31,18,2,329,312
"142",11,"Tercero basico",15,2017-08-29 17:29:31,12,4,329,313
"143",11,"Tercero basico",15,2017-08-29 17:29:31,2,2,329,314
"144",11,"Tercero basico",15,2017-08-29 17:29:31,4,5,329,315
"145",11,"Tercero basico",15,2017-08-29 17:29:31,13,10,329,316
"146",11,"Tercero basico",15,2017-08-29 17:29:31,19,2,329,317
"147",11,"Tercero basico",15,2017-08-29 17:29:31,11,10,329,318
"148",11,"Tercero basico",15,2017-08-29 17:29:31,10,1,329,319
"149",11,"Tercero basico",15,2017-08-29 17:29:31,3,10,329,325
"150",11,"Tercero basico",15,2017-08-29 17:29:31,14,10,329,326
"151",11,"Tercero basico",15,2017-08-29 17:29:31,17,10,329,330
"152",11,"Tercero basico",15,2017-08-29 17:29:31,8,1,329,333
"153",11,"Tercero basico",15,2017-08-29 17:29:31,1,2,329,336
"154",11,"Tercero basico",15,2017-08-29 17:29:31,5,5,329,337
"155",11,"Tercero basico",15,2017-08-29 17:29:31,16,2,330,312
"156",11,"Tercero basico",15,2017-08-29 17:29:31,11,2,330,313
"157",11,"Tercero basico",15,2017-08-29 17:29:31,1,3,330,314
"158",11,"Tercero basico",15,2017-08-29 17:29:31,3,3,330,315
"159",11,"Tercero basico",15,2017-08-29 17:29:31,12,1,330,316
"160",11,"Tercero basico",15,2017-08-29 17:29:31,18,0,330,317
"161",11,"Tercero basico",15,2017-08-29 17:29:31,10,3,330,318
"162",11,"Tercero basico",15,2017-08-29 17:29:31,9,6,330,319
"163",11,"Tercero basico",15,2017-08-29 17:29:31,2,5,330,325
"164",11,"Tercero basico",15,2017-08-29 17:29:31,13,1,330,326
"165",11,"Tercero basico",15,2017-08-29 17:29:31,17,10,330,329
